,count_A,count_B,ratio_A,ratio_B,log2_fold
HDC,1023,968,0.0005000090421971206,0.0004731268356274092,0.0797271924706542
HDD,6540,4873,0.0031965387448352617,0.002381763502076918,0.424480413193054
HDE,22,5,1.0752882628373324e-05,2.4438369613716212e-06,2.1375035235269726
HDG,19,0,9.28658045184361e-06,4.887673921765707e-16,34.14528036750578
HDH,2434,1510,0.001189659832558262,0.0007380387621871105,0.6887806185009245
HDI,0,1,4.887673921765707e-16,4.887673926653382e-07,-29.897352855428956
HDS,36,2,1.759562611884531e-05,9.77534784841909e-07,4.169925000761039
HDT,240,58,0.00011730417412286573,2.8348508746729867e-05,2.0489096004620837
HEC,116,614,5.6697017492970976e-05,0.0003001031787969032,-2.4041138502325197
HED,16,10,7.820278275313899e-06,4.887673922254475e-06,0.6780719050585364
HEE,519,2951,0.00025367027654012896,0.001442352574313549,-2.5073974770718355
HEH,136,800,6.647236533650238e-05,0.00039101391374174536,-2.5563933485155808
HES,22,3,1.0752882628373324e-05,1.4663021770184795e-06,2.8744691175008197
HET,16,35,7.820278275313899e-06,1.710685872666874e-05,-1.1292830168960177
HGC,83,148,4.056769355114414e-05,7.233757404262123e-05,-0.8344139342743909
HGD,12,2,5.865208706607616e-06,9.77534784841909e-07,2.584962500120033
HGE,5,6,2.4438369613716212e-06,2.9326043535481918e-06,-0.2630344057857039
HGG,822,178,0.0004017667963696299,8.700059580791836e-05,2.207261152708935
HGH,360,183,0.0001759562611840542,8.94444327688012e-05,0.9761532580417561
HGS,12,6,5.865208706607616e-06,2.9326043535481918e-06,0.9999999998797754
HGT,320,52,0.0001564055654969914,2.5415904393670444e-05,2.6214883767230344
HHB,39,0,1.9061928295375023e-05,4.887673921765707e-16,35.1827550728855
HHC,19096,31469,0.009333502121004283,0.015381021064404993,-0.7206608628725492
HHD,6981,5115,0.003412085164785129,0.0025000452109836483,0.44869947149373834
HHE,551,3157,0.0002693108330897792,0.0015430386571019226,-2.5184300367396664
HHG,1053,280,0.0005146720639624177,0.00013685486980992857,1.911006704076968
HHH,559470,565859,0.2734506929010265,0.27657342776964267,-0.016381836163677627
HHI,986,122,0.0004819246486865875,5.96296218460304e-05,3.0147064988046632
HHS,2401,732,0.001173530508616435,0.00035777773107373853,1.713719849945004
HHT,22334,12722,0.010916130936872019,0.006218098763270822,0.8119161680962552
HIB,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
HIC,44,2,2.1505765256257876e-05,9.77534784841909e-07,4.459431617948738
HID,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
HIE,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
HIH,194,35,9.482087408274349e-05,1.710685872666874e-05,2.470629825208378
HII,794,86,0.0003880813093886859,4.203399572767385e-05,3.206730442425901
HIS,25,7,1.2219184804903036e-05,3.4213717457247623e-06,1.8365012675687291
HIT,29,0,1.4174254373609318e-05,4.887673921765707e-16,34.755333849163584
HSB,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
HSC,1620,596,0.0007918031753265333,0.00029130536573772494,1.4426095773082954
HSD,26,3,1.2707952197079606e-05,1.4663021770184795e-06,3.115477216994526
HSE,57,6,2.7859741354553296e-05,2.9326043535481918e-06,3.2479275132284466
HSG,43,2,2.1016997864081305e-05,9.77534784841909e-07,4.426264754014301
HSH,175,85,8.553429363138864e-05,4.154522833549728e-05,1.041820175685898
HSS,344,47,0.00016813598290922908,2.297206743278759e-05,2.871675902997959
HST,286,50,0.000139787474162988,2.4438369609317303e-05,2.5160151469798553
HTB,25,2,1.2219184804903036e-05,9.77534784841909e-07,3.643856189111085
HTC,7249,7203,0.0035430748258884503,0.003520591525848328,0.009184084693775105
HTD,148,55,7.233757404262123e-05,2.6882206570200155e-05,1.4280936520878074
HTE,131,83,6.402852837561952e-05,4.056769355114414e-05,0.6583835701841562
HTG,216,19,0.00010557375671062804,9.28658045184361e-06,3.506959988650631
HTH,718,505,0.00035093498758326653,0.00024682753304965696,0.5077004561830468
